bbl,street_number,street_name,first_area_type,year,year_built,gross_floor_area,eui_kbtu_sf,steam_kbtu_sf,natural_gas_kbtu_sf,electricity_kbtu_sf,total_ghg_mmco2e_sf,direct_ghg_mmco2e_sf,indirect_ghg_mmco2e_sf
1021390250,100,HAVEN AVENUE,Office,2017,1973,1651267,124.5,,13.9607303362,6.7879347192,0.0025268476,0.0018969676,0.0006299405
1021390250,100,HAVEN AVENUE        ,Office,2016,1973,1651267,103.2,,3.8056899339,5.9559373499,0.0022053974,0.0017114131,0.0004939238
1021390275,154,HAVEN AVENUE,Office,2017,1970,84442,85.6,,0.5895881197,34.3255429762,0.0069858601,0.0038002416,0.0031856185
1021390275,154,HAVEN AVENUE        ,Office,2016,1970,84442,90.1,,0.6973674238,35.0899303664,0.0069834916,0.0040738021,0.0029096895
1000780020,0,,Residence Hall/Dormitory,2017,1952,,53.8,,,,,,
1000780020,106,FULTON STREET       ,Residence Hall/Dormitory,2016,1952,74863,110.5,,55.5980337416,42.8572846399,0.0065078877,0.0029533949,0.0035544929
1001010002,39,PARK ROW,College/University,2017,1905,125840,62.2,15.6904227591,,47.9030530833,0.0054871265,0,0.0054871265
1001010002,39,PARK ROW            ,College/University,2016,1905,125840,63.5,16.4166711697,,48.4958415448,0.005112047,0,0.005112047
1001020001,154,NASSAU STREET,College/University,2017,1964,526781,121.7,88.8831250558,1.2964987348,55.0521757618,0.0110793669,6.89090912542404E-05,0.0110104579
1001020001,154,NASSAU STREET       ,College/University,2016,1964,526781,121.5,89.9182816009,1.3703802909,53.6684200835,0.0104941143,7.27057354004795E-05,0.0104214085
1014400049,1256,2 AVENUE,Other,2017,2009,239235,250.1,114.8770618848,,134.2427470897,0.0200852718,0,0.0200852718
1014400049,1256,   2 AVENUE         ,Other,2016,2009,239235,245.6,109.4559516793,,135.2506029636,0.0184847535,0,0.0184847535
1014430020,353,EAST 68 STREET,Medical Office,2017,2003,62200,147.9,48.2618794212,,95.0203585209,0.012022508,0,0.012022508
1014430020,353,EAST   68 STREET    ,Medical Office,2016,2003,62200,137,42.8173263666,,89.9846398714,0.0103054662,0,0.0103054662
1014610013,425,EAST 66 STREET,Other,2017,1987,228637,399.3,286.248559507,,286.6232853825,0.0456050421,0,0.0456050421
1014610013,425,EAST   66 STREET    ,Other,2016,1987,228637,425.5,311.5046475417,,298.8673093156,0.0454698933,0,0.0454698933
1014637501,411,EAST 68 STREET,Other,2017,2006,731550,475.5,252.8564191101,0.0294351719,230.6449514046,0.0381946552,1.50365661950653E-06,0.0381930148
1014637501,411,EAST   68 STREET    ,Other,2016,2006,731550,518.7,264.1778091723,,263.2702099651,0.0393751623,0,0.0393751623
1005320008,246,MERCER STREET,Residence Hall/Dormitory,2017,1981,307312,8.1,,1.3764184282,6.4984790701,0.0006761858,7.32154943510179E-05,0.0006029703
1005320008,246,MERCER STREET       ,Residence Hall/Dormitory,2016,1981,307312,9.2,,1.7422033634,7.2197454053,0.0006911543,9.24142239808403E-05,0.00059874
1005330001,1,WASHINGTON SQ VLLGE,Multifamily Housing,2017,1959,1485916,16.1,,0.3702766509,2.9605480391,0.0002944312,1.96511781285079E-05,0.0002747127
1005330001,1,WASHINGTON SQ VLLGE,Multifamily Housing,2017,1960,1485916,15.3,,0.379496553,2.9312710813,0.0002922103,2.01895665703849E-05,0.0002720208
1005330001,1,WASHINGTON SQ VLLGE,Multifamily Housing,2017,1960,1485916,18.2,,0.3848131388,3.5572949615,0.0003505582,2.04587607913233E-05,0.0003300994
1005330001,1,WASHINGTON SQ VLLGE ,Multifamily Housing,2016,1960,1485916,18.7,,0.398407447,3.6623735797,0.0003249174,2.11317463436695E-05,0.0003037184
1005350001,44,WEST 4 STREET,College/University,2017,1896,305900,19.6,,,5.7777571102,0.0005361229,0,0.0005361229
1005350001,44,WEST 4 STREET,College/University,2017,1972,305900,,,,,,0,
1005350001,44,WEST    4 STREET    ,College/University,2016,1972,305900,0,,,0.017846355,1.634521085322E-06,0,1.634521085322E-06
1005350036,17,WEST 3 STREET,College/University,2017,1966,119170,9915.6,,12552.474758748,199.8240496769,0.7181564152,0.6996131577,0.0185432575
1005350036,17,WEST    3 STREET    ,College/University,2016,1966,119170,8704.6,,10387.8414030377,184.6980657884,0.6421230175,0.6268045649,0.0153176135
1005380040,566,LA GUARDIA PLACE,Other,2017,2001,232930,30.6,,6.6764263942,25.839386511,0.002752329,0.000354613,0.0023977161
1005380040,566,LA GUARDIA PLACE    ,Other,2016,2001,232930,31,,6.9208345855,26.0268801786,0.0025260808,0.0003674924,0.0021585884
1005387501,58,WASHINGTON SQUARE S,Other,2017,2012,91104,1.1,,0.3238057604,0.811953372,9.22023182297155E-05,1.75623463294696E-05,7.57376185458377E-05
1005400014,130,MAC DOUGAL STREET,Residence Hall/Dormitory,2017,1986,153348,4.5,,4.2119884185,0,0.0002236743,0.0002236743,0
1005400014,130,MAC DOUGAL STREET   ,Residence Hall/Dormitory,2016,1986,153348,6.7,,3.9746191669,2.3496048204,0.0004062655,0.0002112841,0.0001949813
1005410001,40,WASHINGTON SQUARE S,Other,2017,1951,202521,0,,,0,0,0,0
1005410001,40,WASHINGTON SQUARE S ,Other,2016,1951,202521,2,,,2.5797092647,0.000213805,0,0.000213805
1005417501,89,WEST 3 STREET,College/University,2017,2001,141811,10.1,,0.3800833504,11.6836296197,0.0011042867,2.04497535452116E-05,0.0010845421
1005417501,89,WEST    3 STREET    ,College/University,2016,2001,141811,10.7,,0.3723265473,12.4006233649,0.0010478736,1.97445896298595E-05,0.001028129
1005460010,18,WASHINGTON PLACE,College/University,2017,1893,69800,56.5,,,83.9606232092,0.0077908309,0,0.0077908309
1005460010,18,WASHINGTON PLACE    ,College/University,2016,1893,69800,53.5,,,79.4673295129,0.0065902579,0,0.0065902579
1005460021,8,WASHINGTON PLACE,College/University,2017,1894,100628,29.9,,,38.1739237588,0.0035427515,0,0.0035427515
1005460021,8,WASHINGTON PLACE    ,College/University,2016,1894,100628,29.8,,,38.1305282824,0.0031621417,0,0.0031621417
1005460026,21,WEST 4 STREET,College/University,2017,1891,56684,35,,,45.6024839461,0.0042322348,0,0.0042322348
1005460026,21,WEST    4 STREET    ,College/University,2016,1891,56684,34.9,,,45.5639616117,0.0037788441,0,0.0037788441
1005470001,32,WAVERLY PLACE,College/University,2017,1895,180000,11.7,,,16.7187994444,0.0015516667,0,0.0015516667
1005470001,32,WAVERLY PLACE       ,College/University,2016,1895,180000,12.5,,,17.9092083333,0.0014855556,0,0.0014855556
1005470005,24,WAVERLY PLACE,College/University,2017,1906,53482,0,,0.0031505927,0,0,0,0
1005470005,24,WAVERLY PLACE       ,College/University,2016,1906,53482,0,,,0,0,0,0
1005480004,5,UNIVERSITY PLACE,Residence Hall/Dormitory,2017,1962,116237,12.3,,22.1461324707,,0.0011760455,0.0011760455,0
1005480009,13,UNIVERSITY PLACE,College/University,2017,1896,55224,78.5,,,98.0894285093,0.0091029263,0,0.0091029263
1005520024,35,WASHINGTON SQUARE W,Residence Hall/Dormitory,2017,1929,179800,19.3,,4.9371523915,14.6795678532,0.0016245829,0.0002625139,0.001362069
1005520024,35,WASHINGTON SQUARE W ,Residence Hall/Dormitory,2016,1929,179800,24.7,,6.2552836485,18.8931429366,0.0018993326,0.0003320356,0.0015667408
1005530001,0,,Multifamily Housing,2017,1960,,184.3,,,,,,
